item_id,toxicity
cc-val-003997,0.000000
cc-val-045312,0.600000
cc-val-076939,0.400000
cc-val-012212,0.000000
cc-val-093351,0.000000
cc-val-043877,0.000000
cc-val-073272,0.000000
cc-val-072573,0.400000
cc-val-074722,0.400000
cc-val-039283,0.000000
cc-val-019439,0.000000
cc-val-008621,0.000000
cc-val-069589,0.000000
cc-val-093995,0.000000
cc-val-090919,0.000000
cc-val-086078,0.100000
cc-val-074034,0.000000
cc-val-041204,0.000000
cc-val-008535,0.000000
cc-val-033900,0.000000
cc-val-066252,0.000000
cc-val-036512,0.000000
cc-val-054523,0.703125
cc-val-027758,0.000000
cc-val-039444,0.000000
cc-val-044822,0.166667
cc-val-020570,0.000000
cc-val-076876,0.000000
cc-val-066499,0.000000
cc-val-082593,0.000000
cc-val-000167,0.000000
cc-val-052662,0.000000
cc-val-055795,0.000000
cc-val-071562,0.000000
cc-val-090835,0.000000
cc-val-006062,0.000000
cc-val-032968,0.000000
cc-val-003314,0.000000
cc-val-016989,0.000000
cc-val-023523,0.000000
cc-val-086064,0.000000
cc-val-035696,0.000000
cc-val-093003,0.000000
cc-val-059938,0.000000
cc-val-055062,0.000000
cc-val-072919,0.166667
cc-val-083958,0.166667
cc-val-049335,0.000000
cc-val-058113,0.000000
cc-val-036054,0.166667
cc-val-027431,0.200000
cc-val-012920,0.000000
cc-val-027544,1.000000
cc-val-087678,0.000000
cc-val-011047,0.200000
cc-val-077666,0.000000
cc-val-003780,0.000000
cc-val-085800,0.300000
cc-val-088979,0.000000
cc-val-091586,0.000000
cc-val-079871,0.600000
cc-val-057157,0.000000
cc-val-051429,0.000000
cc-val-024666,0.100000
cc-val-066474,0.000000
cc-val-088566,0.300000
cc-val-073865,0.000000
cc-val-044763,0.300000
cc-val-013076,0.000000
cc-val-053979,0.000000
cc-val-081509,0.000000
cc-val-077092,0.000000
cc-val-069191,0.000000
cc-val-058083,0.000000
cc-val-039066,0.000000
cc-val-078000,0.000000
cc-val-076100,0.000000
cc-val-062754,0.000000
cc-val-039905,0.000000
cc-val-075578,0.685185
cc-val-012258,0.000000
cc-val-063236,0.000000
cc-val-010485,0.200000
cc-val-071249,0.000000
cc-val-044212,0.166667
cc-val-074593,0.000000
cc-val-028848,0.700000
cc-val-024168,0.000000
cc-val-066254,0.000000
cc-val-089612,0.000000
cc-val-071227,0.166667
cc-val-040918,0.000000
cc-val-028982,0.000000
cc-val-082690,0.000000
cc-val-008641,0.000000
cc-val-080268,0.000000
cc-val-040295,0.000000
cc-val-039229,0.000000
cc-val-022272,0.000000
cc-val-083078,0.300000
cc-val-071750,0.166667
cc-val-073697,0.000000
cc-val-009616,0.000000
cc-val-024635,0.000000
cc-val-044155,0.000000
cc-val-052833,0.000000
cc-val-003230,0.703704
cc-val-041665,0.000000
cc-val-042392,0.000000
cc-val-078667,0.000000
cc-val-019017,0.000000
cc-val-065285,0.400000
cc-val-043544,0.500000
cc-val-052843,0.000000
cc-val-065697,0.800000
cc-val-021535,0.000000
cc-val-006365,0.000000
cc-val-015434,0.000000
cc-val-021665,0.000000
cc-val-071162,0.512500
cc-val-069932,0.000000
cc-val-092950,0.000000
cc-val-097091,0.000000
cc-val-071963,0.000000
cc-val-050075,0.000000
cc-val-022312,0.000000
cc-val-010840,0.000000
cc-val-055041,0.000000
cc-val-021010,0.000000
cc-val-035792,0.776119
cc-val-050483,0.000000
cc-val-091839,0.000000
cc-val-057102,0.000000
cc-val-097055,0.000000
cc-val-027891,0.200000
cc-val-032415,0.000000
cc-val-018044,0.000000
cc-val-047710,0.000000
cc-val-025487,0.000000
cc-val-044509,0.600000
cc-val-094871,0.000000
cc-val-011589,0.833333
cc-val-036412,0.500000
cc-val-034806,0.000000
cc-val-043551,0.000000
cc-val-041652,0.000000
cc-val-023827,0.000000
cc-val-053005,0.400000
cc-val-071895,0.000000
cc-val-025792,0.166667
cc-val-066991,0.000000
cc-val-052828,0.000000
cc-val-023733,0.000000
cc-val-019267,0.833333
cc-val-066075,0.000000
cc-val-040603,0.533333
cc-val-061664,0.000000
cc-val-038083,0.200000
cc-val-052778,0.000000
cc-val-046591,0.166667
cc-val-041033,0.000000
cc-val-084874,0.500000
cc-val-016940,0.000000
cc-val-045345,0.000000
cc-val-054586,0.000000
cc-val-044718,0.000000
cc-val-094144,0.000000
cc-val-008867,0.400000
cc-val-067715,0.000000
cc-val-024827,0.000000
cc-val-047503,0.857143
cc-val-047898,0.200000
cc-val-056310,0.166667
cc-val-047792,0.000000
cc-val-034768,0.000000
cc-val-090069,0.000000
cc-val-069119,0.166667
cc-val-007046,0.200000
cc-val-061914,0.400000
cc-val-062678,0.000000
cc-val-000962,0.200000
cc-val-068142,0.200000
cc-val-080514,0.000000
cc-val-076699,0.000000
cc-val-048489,0.000000
cc-val-016602,0.000000
cc-val-011054,0.166667
cc-val-057322,0.000000
cc-val-048277,0.000000
cc-val-009102,0.300000
cc-val-048649,0.000000
cc-val-071603,0.200000
cc-val-082520,0.000000
cc-val-026543,0.000000
cc-val-080065,0.000000
cc-val-032405,0.000000
cc-val-085438,0.000000
cc-val-013210,0.000000
cc-val-042055,0.000000
cc-val-034077,0.833333
cc-val-031079,0.200000
cc-val-067690,0.000000
cc-val-087999,0.000000
cc-val-067429,0.000000
cc-val-011653,0.000000
cc-val-026867,0.000000
cc-val-073197,0.200000
cc-val-026118,0.200000
cc-val-013434,0.000000
cc-val-055728,0.166667
cc-val-060604,0.000000
cc-val-038928,0.000000
cc-val-086027,0.000000
cc-val-005744,0.200000
cc-val-034834,0.000000
cc-val-043606,0.000000
cc-val-029835,0.000000
cc-val-019100,0.000000
cc-val-064324,0.000000
cc-val-078560,0.000000
cc-val-082049,0.000000
cc-val-073411,0.000000
cc-val-036851,0.000000
cc-val-046587,0.000000
cc-val-044451,0.450000
cc-val-095851,0.000000
cc-val-065247,0.000000
cc-val-035086,0.400000
cc-val-082039,0.000000
cc-val-030468,0.000000
cc-val-022243,0.300000
cc-val-008347,0.166667
cc-val-034119,0.000000
cc-val-085667,0.000000
cc-val-008489,0.000000
cc-val-086992,0.200000
cc-val-084936,0.000000
cc-val-068621,0.000000
cc-val-092891,0.000000
cc-val-052850,0.000000
cc-val-048405,0.000000
cc-val-004162,0.000000
cc-val-051140,0.000000
cc-val-073801,0.000000
cc-val-027730,0.000000
cc-val-048259,0.000000
cc-val-017722,0.000000
cc-val-096752,0.000000
cc-val-078245,0.228070
cc-val-059709,0.000000
cc-val-016671,0.000000
cc-val-016405,0.000000
cc-val-026531,0.000000
cc-val-016604,0.000000
cc-val-073444,0.000000
cc-val-033770,0.000000
cc-val-002525,0.500000
cc-val-085353,0.166667
cc-val-096020,0.000000
cc-val-065097,0.000000
cc-val-042231,0.166667
cc-val-055587,0.200000
cc-val-023356,0.000000
cc-val-028197,0.000000
cc-val-043602,0.000000
cc-val-038613,0.200000
cc-val-071612,0.000000
cc-val-035269,0.000000
cc-val-080005,0.000000
cc-val-044526,0.000000
cc-val-003885,0.500000
cc-val-033831,0.000000
cc-val-043205,0.000000
cc-val-079497,0.000000
cc-val-071268,0.000000
cc-val-066543,0.400000
cc-val-018498,0.000000
cc-val-072622,0.000000
cc-val-006021,0.166667
cc-val-041726,0.000000
cc-val-062610,0.000000
cc-val-063822,0.000000
cc-val-051575,0.000000
cc-val-005499,0.000000
cc-val-069182,0.200000
cc-val-091245,0.000000
cc-val-096593,0.000000
cc-val-001160,0.200000
cc-val-090742,0.000000
cc-val-019229,0.000000
cc-val-007211,0.000000
cc-val-069785,0.300000
cc-val-087289,0.000000
cc-val-087762,0.000000
cc-val-096933,0.000000
cc-val-047992,0.000000
cc-val-023963,0.166667
cc-val-030813,0.000000
cc-val-028708,0.000000
cc-val-080638,0.000000
cc-val-086692,0.166667
cc-val-063207,0.000000
cc-val-064995,0.000000
cc-val-090849,0.000000
cc-val-052134,0.000000
cc-val-034268,0.000000
cc-val-024122,0.000000
cc-val-091705,0.000000
cc-val-012542,0.000000
cc-val-090810,0.000000
cc-val-032887,0.000000
cc-val-007666,0.000000
cc-val-027429,0.000000
cc-val-030276,0.400000
cc-val-090120,0.000000
cc-val-004781,0.700000
cc-val-007682,0.432432
cc-val-077867,0.000000
cc-val-027038,0.000000
cc-val-056667,0.000000
cc-val-048350,0.000000
cc-val-062864,0.000000
cc-val-008689,0.000000
cc-val-062638,0.000000
cc-val-014260,0.000000
cc-val-048077,0.696970
cc-val-086592,0.000000
cc-val-067174,0.000000
cc-val-071801,0.000000
cc-val-072737,0.000000
cc-val-065743,0.000000
cc-val-057961,0.000000
cc-val-063859,0.500000
cc-val-022398,0.000000
cc-val-045814,0.000000
cc-val-033000,0.400000
cc-val-071875,0.400000
cc-val-038657,0.000000
cc-val-008843,0.142857
cc-val-026783,0.000000
cc-val-075673,0.000000
cc-val-080357,0.000000
cc-val-040104,0.000000
cc-val-065634,0.000000
cc-val-054085,0.000000
cc-val-034369,0.000000
cc-val-005042,0.000000
cc-val-086557,0.000000
cc-val-094143,0.000000
cc-val-011356,0.000000
cc-val-024247,0.200000
cc-val-021213,0.000000
cc-val-006830,0.000000
cc-val-084941,0.600000
cc-val-021387,0.166667
cc-val-054108,0.142857
cc-val-036888,0.000000
cc-val-024604,0.000000
cc-val-003064,0.000000
cc-val-008026,0.000000
cc-val-041196,0.000000
cc-val-049973,0.531250
cc-val-053891,0.000000
cc-val-060512,0.000000
cc-val-068688,0.000000
cc-val-090396,0.300000
cc-val-080003,0.000000
cc-val-010506,0.000000
cc-val-016921,0.500000
cc-val-073604,0.000000
cc-val-085008,0.000000
cc-val-018086,0.000000
cc-val-040355,0.500000
cc-val-076652,0.000000
cc-val-005600,0.166667
cc-val-014810,0.803279
cc-val-026417,0.000000
cc-val-031295,0.000000
cc-val-026766,0.000000
cc-val-035176,0.000000
cc-val-089941,0.000000
cc-val-046283,0.300000
cc-val-049211,0.000000
cc-val-063537,0.000000
cc-val-005954,0.000000
cc-val-092413,0.000000
cc-val-046979,0.000000
cc-val-097294,0.000000
cc-val-008664,0.000000
cc-val-066348,0.000000
cc-val-017264,0.000000
cc-val-068637,0.000000
cc-val-038948,0.000000
cc-val-078895,0.000000
cc-val-058101,0.166667
cc-val-052025,0.000000
cc-val-010640,0.166667
cc-val-012483,0.000000
cc-val-020876,0.000000
cc-val-020739,0.000000
cc-val-043953,0.000000
cc-val-095579,0.000000
cc-val-078370,0.000000
cc-val-060419,0.000000
cc-val-039123,0.000000
cc-val-053651,0.000000
cc-val-060395,0.000000
cc-val-018914,0.200000
cc-val-081131,0.000000
cc-val-045946,0.000000
cc-val-002712,0.254545
cc-val-082350,0.000000
cc-val-086663,0.000000
cc-val-004528,0.000000
cc-val-093392,0.000000
cc-val-062961,0.000000
cc-val-045425,0.000000
cc-val-074346,0.000000
cc-val-023947,0.200000
cc-val-067345,0.000000
cc-val-042902,0.000000
cc-val-066149,0.000000
cc-val-075654,0.000000
cc-val-003311,0.000000
cc-val-052931,0.166667
cc-val-008434,0.000000
cc-val-053521,0.000000
cc-val-072786,0.000000
cc-val-092807,0.700000
cc-val-032663,0.000000
cc-val-058789,0.000000
cc-val-074488,0.000000
cc-val-004288,0.000000
cc-val-050803,0.200000
cc-val-064658,0.200000
cc-val-087184,0.000000
cc-val-073499,0.000000
cc-val-086995,0.000000
cc-val-043101,0.200000
cc-val-077658,0.000000
cc-val-078262,0.000000
cc-val-086813,0.000000
cc-val-066935,0.166667
cc-val-095931,0.000000
cc-val-097030,0.000000
cc-val-073085,0.200000
cc-val-011905,0.000000
cc-val-057264,0.000000
cc-val-081785,0.000000
cc-val-021033,0.000000
cc-val-090952,0.000000
cc-val-071081,0.200000
cc-val-046347,0.000000
cc-val-065161,0.300000
cc-val-061476,0.500000
cc-val-080696,0.000000
cc-val-036472,0.000000
cc-val-065275,0.000000
cc-val-051442,0.000000
cc-val-054482,0.000000
cc-val-061056,0.000000
cc-val-089142,0.000000
cc-val-036761,0.000000
cc-val-004514,0.000000
cc-val-082068,0.000000
cc-val-032248,0.000000
cc-val-021012,0.000000
cc-val-003303,0.000000
cc-val-051229,0.000000
cc-val-014064,0.000000
cc-val-072187,0.000000
cc-val-056475,0.000000
cc-val-028496,0.000000
cc-val-006223,0.000000
cc-val-078383,0.000000
